requisition_id,department,role_type,region,stage,application_date,days_in_stage,hire_date,status
REQ-2202,Safety & Compliance,Engineer,Oost,Screened,2025-11-28,26,,Open
REQ-2203,Grid Operations,Project Lead,Oost,Screened,2026-02-24,17,,Open
REQ-2204,Grid Operations,Analyst,Oost,Applications,2025-11-16,2,,Open
REQ-2205,HR,Analyst,Oost,Interviewed,2026-01-24,10,,Open
REQ-2206,Finance,Analyst,Noord,Screened,2026-02-11,6,,Open
REQ-2207,HR,Office Specialist,West,Hired,2026-03-23,23,2026-06-05,Closed
REQ-2208,Grid Operations,Office Specialist,Oost,Applications,2026-02-03,24,,Open
REQ-2209,Grid Operations,Engineer,Oost,Screened,2026-01-15,22,,Open
REQ-2210,HR,Field Technician,West,Interviewed,2026-04-12,14,,Open
REQ-2211,Customer Services,Engineer,Zuid,Hired,2026-02-03,9,2026-03-29,Closed
REQ-2212,IT & Digital,Office Specialist,West,Applications,2026-02-18,25,,Open
REQ-2213,Grid Operations,Project Lead,Zuid,Hired,2025-11-23,6,2026-01-21,Closed
REQ-2214,HR,Office Specialist,Zuid,Applications,2026-01-28,11,,Open
REQ-2215,Grid Operations,Project Lead,Zuid,Applications,2026-02-11,20,,Open
REQ-2216,IT & Digital,Office Specialist,Oost,Hired,2025-12-17,6,2026-01-14,Closed
REQ-2217,Grid Operations,Field Technician,Centraal,Hired,2026-04-24,1,2026-05-20,Closed
REQ-2218,Safety & Compliance,Office Specialist,Centraal,Applications,2026-05-04,14,,Open
REQ-2219,Safety & Compliance,Office Specialist,West,Offer Made,2026-02-09,12,,Open
REQ-2220,Finance,Engineer,West,Hired,2026-02-22,27,2026-04-18,Closed
REQ-2221,Asset Management,Field Technician,Noord,Applications,2026-03-18,23,,Open
REQ-2222,Finance,Office Specialist,Oost,Screened,2026-04-27,24,,Open
REQ-2223,Asset Management,Manager,Zuid,Applications,2026-02-13,24,,Open
REQ-2224,Safety & Compliance,Manager,Centraal,Interviewed,2025-12-03,17,,Open
REQ-2225,Grid Operations,Engineer,West,Interviewed,2025-12-02,21,,Open
REQ-2226,HR,Field Technician,Noord,Offer Made,2026-03-17,6,,Open
REQ-2227,Engineering,Analyst,Zuid,Applications,2025-12-20,29,,Open
REQ-2228,Safety & Compliance,Engineer,Centraal,Applications,2025-12-24,26,,Open
REQ-2229,Customer Services,Engineer,Centraal,Screened,2026-01-04,8,,Open
REQ-2230,Finance,Analyst,Noord,Applications,2026-03-19,19,,Open
REQ-2231,HR,Manager,Oost,Applications,2026-03-19,2,,Open
REQ-2232,Safety & Compliance,Project Lead,Oost,Applications,2026-03-31,2,,Open
REQ-2233,Engineering,Manager,West,Applications,2026-02-19,16,,Open
REQ-2234,IT & Digital,Manager,Zuid,Applications,2025-11-20,7,,Open
REQ-2235,Engineering,Analyst,Noord,Screened,2026-01-27,8,,Open
REQ-2236,Finance,Office Specialist,Oost,Offer Made,2025-11-18,22,,Open
REQ-2237,IT & Digital,Analyst,Oost,Applications,2026-04-23,14,,Open
REQ-2238,Engineering,Office Specialist,Oost,Offer Made,2026-02-22,12,,Open
REQ-2239,Engineering,Field Technician,Zuid,Applications,2025-11-28,8,,Open
REQ-2240,Finance,Project Lead,Noord,Interviewed,2026-04-08,16,,Open
REQ-2241,Safety & Compliance,Office Specialist,West,Screened,2025-11-29,7,,Open
REQ-2242,Engineering,Field Technician,Oost,Interviewed,2026-04-22,12,,Open
REQ-2243,HR,Office Specialist,Oost,Screened,2025-12-31,24,,Open
REQ-2244,HR,Office Specialist,Noord,Applications,2025-12-09,2,,Open
REQ-2245,HR,Field Technician,Zuid,Applications,2025-11-17,15,,Open
REQ-2246,HR,Manager,Zuid,Applications,2025-11-17,9,,Open
REQ-2247,HR,Office Specialist,Zuid,Applications,2026-01-13,21,,Open
REQ-2248,Grid Operations,Office Specialist,West,Interviewed,2026-03-18,18,,Open
REQ-2249,IT & Digital,Office Specialist,Oost,Offer Made,2026-04-05,22,,Open
REQ-2250,Safety & Compliance,Manager,Oost,Interviewed,2026-05-02,24,,Open
REQ-2251,Finance,Manager,Centraal,Interviewed,2026-02-15,9,,Open
REQ-2252,HR,Project Lead,Zuid,Applications,2026-02-13,14,,Open
REQ-2253,HR,Office Specialist,Zuid,Interviewed,2026-04-25,29,,Open
REQ-2254,Safety & Compliance,Analyst,Oost,Applications,2026-03-01,21,,Open
REQ-2255,HR,Field Technician,Zuid,Applications,2026-01-02,27,,Open
REQ-2256,HR,Office Specialist,Centraal,Interviewed,2026-01-31,6,,Open
REQ-2257,Asset Management,Field Technician,Oost,Screened,2025-12-15,3,,Open
REQ-2258,Grid Operations,Field Technician,Noord,Applications,2026-02-10,2,,Open
REQ-2259,Engineering,Engineer,Oost,Hired,2026-04-09,2,2026-06-18,Closed
REQ-2260,Customer Services,Analyst,Centraal,Applications,2025-11-09,26,,Open
REQ-2261,Grid Operations,Field Technician,Noord,Offer Made,2026-04-15,14,,Open
REQ-2262,HR,Office Specialist,West,Applications,2026-03-30,3,,Open
REQ-2263,Grid Operations,Office Specialist,Oost,Applications,2026-01-26,11,,Open
REQ-2264,Engineering,Analyst,Zuid,Interviewed,2026-03-14,22,,Open
REQ-2265,IT & Digital,Field Technician,Oost,Screened,2026-02-28,27,,Open
REQ-2266,Engineering,Project Lead,Centraal,Applications,2026-03-07,20,,Open
REQ-2267,HR,Engineer,Zuid,Interviewed,2025-11-16,21,,Open
REQ-2268,Grid Operations,Project Lead,Zuid,Interviewed,2026-02-05,8,,Open
REQ-2269,Finance,Engineer,Noord,Interviewed,2025-12-25,19,,Open
REQ-2270,Engineering,Manager,Centraal,Interviewed,2026-01-06,11,,Open
REQ-2271,Safety & Compliance,Manager,Noord,Interviewed,2026-03-05,11,,Open
REQ-2272,Engineering,Project Lead,Noord,Interviewed,2025-11-25,14,,Open
REQ-2273,Engineering,Office Specialist,Zuid,Hired,2025-11-29,21,2026-01-14,Closed
REQ-2274,Customer Services,Engineer,Centraal,Hired,2026-04-06,10,2026-05-11,Closed
REQ-2275,Engineering,Project Lead,Oost,Hired,2026-04-09,16,2026-05-06,Closed
REQ-2276,Asset Management,Analyst,Noord,Interviewed,2026-05-03,20,,Open
REQ-2277,Asset Management,Manager,Oost,Applications,2025-11-26,15,,Open
REQ-2278,Asset Management,Analyst,West,Offer Made,2026-02-07,10,,Open
REQ-2279,Finance,Office Specialist,Zuid,Interviewed,2025-12-19,23,,Open
REQ-2280,HR,Field Technician,West,Applications,2025-12-02,8,,Open
REQ-2281,Safety & Compliance,Analyst,Oost,Offer Made,2025-11-15,26,,Open
REQ-2282,HR,Analyst,Zuid,Applications,2026-04-24,17,,Open
REQ-2283,Engineering,Office Specialist,Centraal,Applications,2026-02-16,24,,Open
REQ-2284,Engineering,Field Technician,Zuid,Hired,2025-12-23,13,2026-03-06,Closed
REQ-2285,Engineering,Field Technician,Centraal,Applications,2026-03-03,5,,Open
REQ-2286,Grid Operations,Office Specialist,Centraal,Interviewed,2025-11-17,8,,Open
REQ-2287,Grid Operations,Manager,Noord,Interviewed,2026-01-26,16,,Open
REQ-2288,Asset Management,Analyst,West,Screened,2025-12-24,14,,Open
REQ-2289,Asset Management,Analyst,Oost,Applications,2026-03-07,16,,Open
REQ-2290,HR,Engineer,West,Interviewed,2026-01-30,3,,Open
REQ-2291,Engineering,Field Technician,Zuid,Applications,2026-01-22,13,,Open
REQ-2292,Asset Management,Analyst,Oost,Applications,2025-11-26,25,,Open
REQ-2293,Customer Services,Office Specialist,Centraal,Interviewed,2026-02-09,21,,Open
REQ-2294,Safety & Compliance,Engineer,Centraal,Applications,2025-11-29,10,,Open
REQ-2295,Customer Services,Manager,Zuid,Interviewed,2026-04-08,27,,Open
REQ-2296,Safety & Compliance,Analyst,Centraal,Applications,2026-04-19,27,,Open
REQ-2297,Safety & Compliance,Engineer,Noord,Offer Made,2026-02-08,1,,Open
REQ-2298,Safety & Compliance,Manager,Zuid,Applications,2026-04-17,20,,Open
REQ-2299,Engineering,Field Technician,Noord,Screened,2025-11-09,25,,Open
REQ-2300,IT & Digital,Engineer,Zuid,Applications,2026-02-16,24,,Open
REQ-2301,Customer Services,Manager,Oost,Applications,2026-03-04,14,,Open
REQ-2302,Safety & Compliance,Engineer,Zuid,Applications,2026-05-04,13,,Open
REQ-2303,Engineering,Manager,Noord,Applications,2025-11-28,22,,Open
REQ-2304,Finance,Project Lead,Centraal,Applications,2026-04-12,3,,Open
REQ-2305,Safety & Compliance,Manager,Oost,Applications,2026-01-20,24,,Open
REQ-2306,IT & Digital,Engineer,Noord,Applications,2026-04-21,26,,Open
REQ-2307,Safety & Compliance,Analyst,Zuid,Applications,2026-04-21,19,,Open
REQ-2308,IT & Digital,Manager,West,Offer Made,2025-12-23,2,,Open
REQ-2309,IT & Digital,Project Lead,Centraal,Hired,2026-01-31,4,2026-04-19,Closed
REQ-2310,Grid Operations,Manager,Zuid,Interviewed,2025-11-29,2,,Open
REQ-2311,Safety & Compliance,Project Lead,West,Applications,2026-03-11,23,,Open
REQ-2312,HR,Field Technician,Zuid,Applications,2025-11-20,26,,Open
REQ-2313,Safety & Compliance,Manager,West,Applications,2026-01-04,22,,Open
REQ-2314,IT & Digital,Analyst,Oost,Interviewed,2025-12-04,20,,Open
REQ-2315,HR,Project Lead,West,Interviewed,2026-04-01,5,,Open
REQ-2316,Finance,Project Lead,Zuid,Interviewed,2026-04-21,9,,Open
REQ-2317,Asset Management,Field Technician,Zuid,Screened,2025-11-24,28,,Open
REQ-2318,IT & Digital,Field Technician,Zuid,Offer Made,2026-01-19,2,,Open
REQ-2319,Finance,Engineer,West,Screened,2026-02-14,3,,Open
REQ-2320,HR,Analyst,West,Screened,2026-01-21,13,,Open
REQ-2321,IT & Digital,Manager,Centraal,Interviewed,2026-03-19,26,,Open
REQ-2322,IT & Digital,Office Specialist,West,Interviewed,2026-04-12,11,,Open
REQ-2323,Customer Services,Project Lead,Oost,Hired,2026-02-03,28,2026-04-06,Closed
REQ-2324,Asset Management,Office Specialist,Oost,Applications,2026-03-16,3,,Open
REQ-2325,Finance,Engineer,Noord,Offer Made,2025-12-02,7,,Open
REQ-2326,Grid Operations,Analyst,Zuid,Screened,2026-04-26,13,,Open
REQ-2327,HR,Field Technician,Noord,Interviewed,2025-11-17,10,,Open
REQ-2328,Safety & Compliance,Office Specialist,Zuid,Offer Made,2025-12-20,27,,Open
REQ-2329,Finance,Manager,Noord,Applications,2026-02-02,19,,Open
REQ-2330,HR,Field Technician,Oost,Applications,2026-02-13,18,,Open
REQ-2331,Safety & Compliance,Field Technician,Noord,Interviewed,2025-12-25,14,,Open
REQ-2332,IT & Digital,Engineer,Oost,Applications,2026-04-24,19,,Open
REQ-2333,IT & Digital,Engineer,West,Applications,2025-12-04,6,,Open
REQ-2334,Asset Management,Analyst,Zuid,Applications,2026-01-27,19,,Open
REQ-2335,Engineering,Office Specialist,Zuid,Applications,2026-01-09,27,,Open
REQ-2336,Asset Management,Analyst,Noord,Interviewed,2025-11-09,7,,Open
REQ-2337,IT & Digital,Field Technician,Noord,Screened,2026-03-25,10,,Open
REQ-2338,IT & Digital,Office Specialist,West,Screened,2025-12-16,17,,Open
REQ-2339,Engineering,Manager,Noord,Interviewed,2026-03-15,6,,Open
REQ-2340,Engineering,Office Specialist,West,Hired,2025-11-11,9,2026-01-04,Closed
REQ-2341,IT & Digital,Engineer,Oost,Screened,2026-02-19,11,,Open
REQ-2342,Grid Operations,Project Lead,Oost,Hired,2026-02-02,2,2026-04-06,Closed
