employee_id,department,role_type,region,manager,hire_date,tenure_years,age,salary,salary_growth_pct,attrition_risk_score,attrition_risk_label,absence_risk_score,absence_risk_label,is_active,performance_score
1018,Grid Operations,Analyst,Zuid,Manager L,2019-03-10,7.2,27,53510.0,4.48,0.064,Low,0.482,High,True,5
1019,Grid Operations,Project Lead,Oost,Manager K,2024-07-16,1.8,24,65277.0,1.23,0.262,Low,0.268,Medium,True,4
1020,Grid Operations,Analyst,West,Manager J,2018-06-01,7.9,47,58653.0,3.51,0.01,Low,0.305,Medium,True,3
1021,Grid Operations,Manager,Oost,Manager F,2015-10-12,10.6,43,50087.0,2.17,0.01,Low,0.589,High,True,5
1022,Grid Operations,Manager,Centraal,Manager B,2012-10-07,13.6,53,83668.0,6.69,0.01,Low,0.391,Medium,True,5
1023,Grid Operations,Office Specialist,Noord,Manager B,2018-04-30,8.0,30,34970.0,2.26,0.013,Low,0.299,Medium,True,3
1024,Grid Operations,Manager,Oost,Manager C,2012-12-16,13.4,26,39078.0,6.69,0.081,Low,0.9,High,True,3
1025,Grid Operations,Analyst,West,Manager H,2018-04-19,8.1,52,42707.0,9.37,0.01,Low,0.308,Medium,True,2
1026,Grid Operations,Office Specialist,Zuid,Manager L,2018-08-08,7.7,58,68644.0,3.89,0.01,Low,0.234,Medium,True,3
1027,Grid Operations,Office Specialist,Centraal,Manager B,2021-08-25,4.7,55,49840.0,2.94,0.01,Low,0.427,High,True,3
1028,Grid Operations,Project Lead,Centraal,Manager L,2019-03-30,7.1,45,33548.0,0.56,0.324,Medium,0.21,Medium,True,3
1029,Grid Operations,Project Lead,West,Manager C,2025-01-06,1.3,40,55252.0,2.46,0.101,Low,0.223,Medium,True,3
1030,Grid Operations,Analyst,Oost,Manager J,2016-02-22,10.2,44,50889.0,3.5,0.01,Low,0.259,Medium,True,4
1031,Grid Operations,Office Specialist,Zuid,Manager J,2019-02-23,7.2,38,64646.0,2.13,0.016,Low,0.443,High,True,5
1032,Grid Operations,Analyst,West,Manager F,2021-07-01,4.8,28,46379.0,2.57,0.018,Low,0.628,High,True,4
1033,Grid Operations,Project Lead,Noord,Manager L,2024-11-07,1.5,60,49934.0,4.04,0.273,Low,0.464,High,True,5
1034,Grid Operations,Engineer,West,Manager I,2021-01-10,5.3,42,52983.0,3.57,0.182,Low,0.253,Medium,True,1
1035,Grid Operations,Manager,Centraal,Manager H,2022-05-24,4.0,53,45792.0,2.71,0.01,Low,0.498,High,True,3
1036,Grid Operations,Field Technician,Centraal,Manager D,2012-11-10,13.5,48,59101.0,6.75,0.01,Low,0.302,Medium,True,5
1037,Grid Operations,Field Technician,Zuid,Manager E,2023-04-27,3.0,54,34236.0,2.78,0.122,Low,0.192,Low,True,1
1038,Grid Operations,Analyst,Zuid,Manager E,2024-09-13,1.6,22,59109.0,6.82,0.378,Medium,0.56,High,True,3
1039,Grid Operations,Office Specialist,Oost,Manager B,2013-08-28,12.7,61,47353.0,-0.07,0.302,Medium,0.518,High,False,2
1040,Grid Operations,Office Specialist,Zuid,Manager C,2012-10-18,13.6,38,62745.0,5.74,0.019,Low,0.319,Medium,True,4
1041,Grid Operations,Project Lead,Oost,Manager C,2014-03-16,12.1,59,70288.0,4.73,0.01,Low,0.407,High,True,2
1042,Grid Operations,Project Lead,Zuid,Manager K,2014-09-12,11.7,55,36722.0,5.41,0.01,Low,0.293,Medium,True,5
1043,Grid Operations,Office Specialist,Zuid,Manager C,2017-02-26,9.2,48,43721.0,1.03,0.04,Low,0.214,Medium,True,3
1044,Grid Operations,Office Specialist,Noord,Manager I,2024-08-31,1.7,47,40378.0,0.68,0.36,Medium,0.584,High,True,3
1045,Grid Operations,Office Specialist,Zuid,Manager H,2014-10-23,11.5,44,55428.0,6.56,0.02,Low,0.459,High,True,4
1046,Grid Operations,Manager,Oost,Manager G,2020-11-17,5.5,36,58524.0,2.02,0.01,Low,0.182,Low,True,2
1047,Grid Operations,Field Technician,West,Manager C,2014-08-01,11.8,43,65580.0,6.05,0.043,Low,0.199,Low,True,3
1048,Grid Operations,Project Lead,Zuid,Manager H,2015-08-30,10.7,54,52525.0,-1.56,0.01,Low,0.447,High,True,4
1049,Grid Operations,Field Technician,Oost,Manager K,2018-01-30,8.3,51,44109.0,4.0,0.01,Low,0.142,Low,True,3
1050,Grid Operations,Office Specialist,Centraal,Manager K,2025-06-26,0.9,41,49497.0,2.39,0.234,Low,0.467,High,True,3
1051,Grid Operations,Field Technician,Noord,Manager K,2015-12-07,10.4,41,30000.0,4.67,0.01,Low,0.719,High,True,4
1052,Grid Operations,Field Technician,West,Manager H,2020-09-15,5.6,35,48899.0,0.52,0.243,Low,0.469,High,True,5
1053,Grid Operations,Project Lead,Zuid,Manager F,2024-06-15,1.9,46,60505.0,2.0,0.303,Medium,0.11,Low,True,3
1054,Grid Operations,Project Lead,Zuid,Manager G,2016-01-02,10.3,61,44382.0,3.57,0.073,Low,0.484,High,True,5
1055,Grid Operations,Manager,Oost,Manager J,2023-01-12,3.3,58,67653.0,2.01,0.031,Low,0.563,High,True,3
1056,Grid Operations,Manager,Centraal,Manager B,2017-04-05,9.1,29,49871.0,1.89,0.102,Low,0.266,Medium,False,3
1057,Grid Operations,Engineer,West,Manager J,2017-04-28,9.0,29,73811.0,-0.36,0.252,Low,0.216,Medium,True,5
1058,Grid Operations,Office Specialist,Noord,Manager F,2013-11-29,12.4,25,69460.0,4.34,0.074,Low,0.244,Medium,True,3
1059,Grid Operations,Field Technician,Centraal,Manager J,2018-09-07,7.7,30,50329.0,1.41,0.053,Low,0.307,Medium,True,3
1060,Grid Operations,Manager,Zuid,Manager C,2024-12-15,1.4,48,36967.0,2.48,0.188,Low,0.182,Low,True,3
1061,Grid Operations,Analyst,Noord,Manager G,2016-09-13,9.6,41,65871.0,1.4,0.01,Low,0.234,Medium,True,3
1062,Grid Operations,Office Specialist,Noord,Manager C,2019-09-18,6.6,50,85839.0,0.79,0.311,Medium,0.106,Low,True,4
1063,Grid Operations,Manager,Noord,Manager G,2012-09-11,13.7,31,30119.0,4.67,0.01,Low,0.238,Medium,True,3
1064,Grid Operations,Office Specialist,Zuid,Manager H,2025-03-15,1.1,58,61006.0,0.89,0.407,Medium,0.279,Medium,True,5
1065,Grid Operations,Analyst,Zuid,Manager D,2013-12-25,12.4,28,42915.0,4.38,0.137,Low,0.433,High,True,4
1066,Grid Operations,Field Technician,Oost,Manager E,2012-12-13,13.4,44,69223.0,1.66,0.017,Low,0.257,Medium,True,1
1067,Grid Operations,Field Technician,Zuid,Manager D,2019-01-20,7.3,30,54629.0,7.31,0.054,Low,0.385,Medium,True,3
1068,Grid Operations,Manager,Centraal,Manager J,2020-05-26,5.9,38,54172.0,-2.16,0.166,Low,0.304,Medium,True,4
1069,Grid Operations,Project Lead,Oost,Manager L,2016-08-04,9.8,47,65133.0,5.81,0.01,Low,0.366,Medium,True,5
1070,Grid Operations,Project Lead,Centraal,Manager H,2025-08-03,0.8,60,61492.0,3.27,0.299,Low,0.126,Low,True,2
1071,Grid Operations,Office Specialist,Noord,Manager G,2019-09-07,6.7,38,53847.0,6.31,0.01,Low,0.53,High,True,3
1072,Grid Operations,Analyst,Noord,Manager G,2014-11-08,11.5,37,59562.0,4.22,0.067,Low,0.495,High,True,4
1073,Grid Operations,Project Lead,Centraal,Manager G,2016-11-25,9.4,31,63813.0,0.5,0.408,Medium,0.409,High,True,4
1074,Grid Operations,Field Technician,Zuid,Manager L,2023-07-17,2.8,56,66259.0,1.97,0.01,Low,0.528,High,True,3
1075,Grid Operations,Project Lead,Oost,Manager G,2018-07-08,7.8,54,49723.0,3.53,0.071,Low,0.364,Medium,True,5
1076,Grid Operations,Analyst,West,Manager I,2023-11-15,2.5,50,48793.0,5.82,0.01,Low,0.432,High,True,1
1077,Grid Operations,Office Specialist,Centraal,Manager I,2016-07-07,9.8,35,47026.0,4.57,0.01,Low,0.414,High,True,2
1078,Grid Operations,Project Lead,Zuid,Manager B,2019-12-25,6.4,58,66812.0,2.57,0.093,Low,0.626,High,True,4
1079,Grid Operations,Project Lead,Noord,Manager H,2015-07-28,10.8,26,48628.0,5.84,0.054,Low,0.259,Medium,True,5
1080,Grid Operations,Engineer,West,Manager I,2022-04-27,4.0,55,30000.0,1.24,0.01,Low,0.376,Medium,True,4
1081,Grid Operations,Engineer,Oost,Manager H,2023-08-07,2.7,27,66698.0,4.81,0.103,Low,0.145,Low,True,4
1082,Grid Operations,Office Specialist,West,Manager K,2021-06-07,4.9,34,61029.0,4.71,0.01,Low,0.41,High,True,2
1083,Grid Operations,Office Specialist,Centraal,Manager K,2019-07-09,6.8,23,56761.0,3.06,0.202,Low,0.324,Medium,True,4
1084,Grid Operations,Office Specialist,West,Manager L,2019-03-20,7.1,51,54443.0,2.34,0.045,Low,0.215,Medium,True,4
1085,Grid Operations,Engineer,Zuid,Manager D,2023-09-04,2.7,22,47504.0,1.83,0.253,Low,0.556,High,True,5
1086,Grid Operations,Manager,Oost,Manager D,2025-12-29,0.4,36,62784.0,4.97,0.148,Low,0.473,High,True,4
1087,Grid Operations,Manager,Oost,Manager C,2021-06-29,4.9,26,41236.0,2.91,0.119,Low,0.356,Medium,True,5
1088,Grid Operations,Engineer,Centraal,Manager L,2023-05-28,2.9,38,74518.0,-1.96,0.3,Low,0.462,High,True,2
1089,Grid Operations,Analyst,Noord,Manager H,2025-10-12,0.6,23,76611.0,1.73,0.43,Medium,0.643,High,True,4
1090,Grid Operations,Field Technician,Noord,Manager L,2024-02-08,2.2,54,66278.0,4.69,0.192,Low,0.341,Medium,True,2
1091,Grid Operations,Office Specialist,Oost,Manager B,2015-01-10,11.3,51,55323.0,1.0,0.178,Low,0.365,Medium,True,4
1092,Grid Operations,Office Specialist,West,Manager D,2019-11-19,6.5,53,59464.0,2.66,0.084,Low,0.252,Medium,True,4
1093,Grid Operations,Analyst,Zuid,Manager J,2012-09-02,13.7,35,66402.0,1.7,0.01,Low,0.475,High,True,1
1094,Grid Operations,Field Technician,Zuid,Manager C,2016-01-24,10.3,27,43801.0,4.51,0.086,Low,0.322,Medium,True,5
1095,Grid Operations,Manager,West,Manager L,2020-09-07,5.7,45,50558.0,-0.73,0.128,Low,0.129,Low,True,5
1096,Grid Operations,Project Lead,Centraal,Manager L,2021-03-06,5.2,60,62828.0,-0.15,0.146,Low,0.507,High,True,3
1097,Grid Operations,Project Lead,West,Manager H,2026-02-04,0.2,58,54693.0,5.35,0.395,Medium,0.602,High,True,1
1098,Grid Operations,Engineer,Oost,Manager C,2013-08-17,12.7,57,67877.0,2.91,0.038,Low,0.148,Low,True,3
1099,Grid Operations,Analyst,West,Manager E,2019-08-21,6.7,41,71855.0,-0.21,0.257,Low,0.449,High,True,5
1100,Grid Operations,Analyst,Zuid,Manager E,2023-06-13,2.9,58,68073.0,2.74,0.01,Low,0.437,High,True,4
1101,Grid Operations,Engineer,Oost,Manager G,2025-10-03,0.6,55,36466.0,4.01,0.18,Low,0.304,Medium,True,5
1102,Grid Operations,Project Lead,Oost,Manager A,2025-09-30,0.6,29,42521.0,2.08,0.302,Medium,0.22,Medium,True,1
1103,Grid Operations,Engineer,Centraal,Manager E,2020-12-30,5.4,46,68266.0,5.37,0.01,Low,0.649,High,False,4
1104,Grid Operations,Office Specialist,Centraal,Manager F,2015-08-14,10.7,34,66172.0,1.79,0.01,Low,0.636,High,True,3
1105,Grid Operations,Analyst,Noord,Manager L,2015-12-08,10.4,45,66755.0,0.33,0.294,Low,0.417,High,True,1
1106,Grid Operations,Office Specialist,Noord,Manager C,2016-12-16,9.4,56,68344.0,3.9,0.01,Low,0.41,High,True,2
1107,Grid Operations,Engineer,Oost,Manager L,2014-01-20,12.3,58,53200.0,-0.27,0.261,Low,0.382,Medium,True,3
1108,Grid Operations,Office Specialist,West,Manager B,2016-02-23,10.2,48,61637.0,3.12,0.062,Low,0.377,Medium,True,4
1109,Grid Operations,Project Lead,Noord,Manager L,2016-02-04,10.3,57,45129.0,2.7,0.01,Low,0.215,Medium,True,3
1110,Grid Operations,Field Technician,Oost,Manager K,2026-01-27,0.3,45,59608.0,5.3,0.226,Low,0.2,Medium,True,2
1111,Grid Operations,Office Specialist,Noord,Manager G,2017-10-10,8.6,26,61292.0,1.53,0.01,Low,0.409,High,True,4
1112,Grid Operations,Project Lead,Centraal,Manager G,2024-11-22,1.5,46,47284.0,1.39,0.281,Low,0.53,High,True,4
1113,Grid Operations,Field Technician,Noord,Manager K,2014-10-15,11.6,61,68568.0,6.43,0.093,Low,0.149,Low,True,3
1114,Grid Operations,Engineer,Oost,Manager G,2021-05-07,5.0,24,66585.0,-0.99,0.33,Medium,0.156,Low,False,4
1115,Grid Operations,Manager,Noord,Manager L,2016-11-10,9.5,37,33448.0,-0.11,0.054,Low,0.298,Medium,False,1
1116,Grid Operations,Project Lead,Oost,Manager H,2015-04-21,11.0,22,55902.0,5.45,0.058,Low,0.325,Medium,True,3
1117,Grid Operations,Field Technician,Zuid,Manager C,2021-09-18,4.6,42,66480.0,0.56,0.143,Low,0.34,Medium,True,3
1118,Grid Operations,Field Technician,Oost,Manager F,2013-12-13,12.4,58,55313.0,-1.94,0.165,Low,0.467,High,True,2
1119,Grid Operations,Office Specialist,Noord,Manager B,2014-07-13,11.8,56,58860.0,3.06,0.01,Low,0.272,Medium,True,3
1120,Grid Operations,Analyst,Oost,Manager D,2020-09-24,5.6,27,50539.0,1.02,0.141,Low,0.33,Medium,True,4
1121,Grid Operations,Engineer,Centraal,Manager C,2020-12-09,5.4,23,31294.0,1.07,0.133,Low,0.293,Medium,True,3
1122,Grid Operations,Manager,Noord,Manager D,2020-04-07,6.1,30,47639.0,2.4,0.01,Low,0.474,High,True,4
1123,Grid Operations,Project Lead,Centraal,Manager F,2021-12-20,4.4,56,48912.0,0.66,0.056,Low,0.382,Medium,True,3
1124,Grid Operations,Analyst,Centraal,Manager E,2023-08-20,2.7,22,66223.0,2.01,0.02,Low,0.253,Medium,True,2
1125,Grid Operations,Manager,Centraal,Manager F,2013-03-06,13.2,39,53098.0,-1.61,0.164,Low,0.407,High,True,5
1126,Grid Operations,Manager,Centraal,Manager L,2024-07-14,1.8,50,58902.0,2.67,0.263,Low,0.387,Medium,True,2
1127,Grid Operations,Engineer,Noord,Manager E,2020-03-20,6.1,29,73738.0,2.27,0.115,Low,0.114,Low,False,5
1128,Grid Operations,Analyst,Oost,Manager F,2019-02-16,7.2,49,42080.0,-0.56,0.202,Low,0.259,Medium,True,1
1129,Grid Operations,Office Specialist,Oost,Manager J,2021-02-04,5.3,25,63514.0,4.28,0.198,Low,0.206,Medium,True,4
1130,Grid Operations,Field Technician,Oost,Manager G,2022-07-05,3.8,53,44755.0,3.72,0.01,Low,0.3,Medium,True,4
1131,Grid Operations,Field Technician,West,Manager I,2024-03-22,2.1,42,50572.0,4.72,0.01,Low,0.554,High,True,4
1132,Grid Operations,Engineer,Noord,Manager F,2013-01-26,13.3,53,57172.0,0.41,0.338,Medium,0.424,High,True,2
1133,Grid Operations,Engineer,Zuid,Manager G,2024-11-02,1.5,43,58280.0,7.6,0.236,Low,0.4,High,True,3
1134,Grid Operations,Field Technician,West,Manager H,2015-11-23,10.5,29,64941.0,1.15,0.12,Low,0.241,Medium,True,4
1135,Grid Operations,Office Specialist,Oost,Manager J,2020-03-09,6.2,34,44703.0,6.28,0.21,Low,0.207,Medium,True,5
1136,Grid Operations,Engineer,Oost,Manager E,2020-02-18,6.2,25,62069.0,3.68,0.068,Low,0.225,Medium,True,2
1137,Grid Operations,Manager,West,Manager C,2018-01-11,8.3,45,51929.0,5.05,0.047,Low,0.226,Medium,True,4
1138,Grid Operations,Manager,Noord,Manager G,2017-12-15,8.4,57,30000.0,4.6,0.01,Low,0.162,Low,True,3
1139,Grid Operations,Project Lead,West,Manager K,2014-05-06,12.0,25,63379.0,0.34,0.299,Low,0.512,High,True,4
1140,Grid Operations,Analyst,West,Manager A,2018-07-20,7.8,38,47999.0,0.4,0.256,Low,0.351,Medium,True,4
1141,Grid Operations,Manager,Noord,Manager D,2018-10-26,7.5,27,56702.0,2.45,0.02,Low,0.262,Medium,True,3
1142,Grid Operations,Engineer,West,Manager B,2025-07-16,0.8,27,54744.0,1.51,0.156,Low,0.43,High,True,2
1143,Grid Operations,Office Specialist,Centraal,Manager H,2019-02-23,7.2,35,56048.0,4.59,0.01,Low,0.227,Medium,True,1
1144,Asset Management,Project Lead,Noord,Manager A,2013-03-01,13.2,25,45123.0,2.67,0.181,Low,0.436,High,True,2
1145,Asset Management,Analyst,West,Manager H,2017-07-05,8.8,31,30000.0,0.98,0.176,Low,0.502,High,True,4
1146,Asset Management,Project Lead,Zuid,Manager I,2018-06-16,7.9,42,54562.0,1.05,0.037,Low,0.413,High,True,3
1147,Asset Management,Manager,Noord,Manager K,2023-03-06,3.2,54,70175.0,2.07,0.105,Low,0.148,Low,True,4
1148,Asset Management,Office Specialist,West,Manager D,2013-05-10,13.0,36,37741.0,3.14,0.068,Low,0.079,Low,True,2
1149,Asset Management,Analyst,West,Manager K,2017-12-13,8.4,49,48442.0,1.97,0.08,Low,0.203,Medium,True,2
1150,Asset Management,Engineer,Noord,Manager D,2024-04-07,2.1,34,68709.0,3.78,0.01,Low,0.281,Medium,True,4
1151,Asset Management,Manager,Noord,Manager K,2022-04-12,4.1,59,76695.0,3.7,0.022,Low,0.269,Medium,True,3
1152,Asset Management,Manager,Oost,Manager I,2015-08-11,10.7,47,48196.0,2.52,0.01,Low,0.105,Low,True,4
1153,Asset Management,Manager,Centraal,Manager B,2021-07-07,4.8,51,55455.0,3.27,0.096,Low,0.086,Low,True,3
1154,Asset Management,Project Lead,Centraal,Manager C,2019-12-21,6.4,24,51893.0,3.25,0.255,Low,0.1,Low,True,4
1155,Asset Management,Project Lead,Zuid,Manager K,2021-03-16,5.1,34,58386.0,4.49,0.01,Low,0.176,Low,True,5
1156,Asset Management,Project Lead,Oost,Manager F,2015-05-17,11.0,41,53555.0,2.9,0.01,Low,0.37,Medium,True,4
1157,Asset Management,Manager,Noord,Manager L,2020-01-08,6.3,28,67039.0,7.11,0.038,Low,0.708,High,True,3
1158,Asset Management,Manager,Oost,Manager I,2019-07-31,6.8,51,61340.0,1.69,0.012,Low,0.052,Low,True,3
1159,Asset Management,Manager,Centraal,Manager C,2013-07-14,12.8,42,56377.0,1.53,0.01,Low,0.479,High,True,2
1160,Asset Management,Engineer,Oost,Manager D,2019-03-07,7.2,22,41555.0,2.78,0.268,Low,0.054,Low,True,2
1161,Asset Management,Engineer,Noord,Manager A,2024-07-07,1.8,43,63906.0,1.21,0.076,Low,0.266,Medium,True,4
1162,Asset Management,Field Technician,Centraal,Manager A,2014-02-10,12.2,29,52778.0,-0.19,0.255,Low,0.325,Medium,True,1
1163,Asset Management,Analyst,Centraal,Manager A,2022-12-04,3.4,41,46564.0,2.38,0.01,Low,0.268,Medium,True,3
1164,Asset Management,Field Technician,Centraal,Manager K,2023-10-04,2.6,42,56243.0,-1.32,0.195,Low,0.174,Low,True,4
1165,Asset Management,Office Specialist,West,Manager J,2022-12-31,3.3,33,41518.0,0.6,0.282,Low,0.288,Medium,True,1
1166,Asset Management,Field Technician,West,Manager B,2020-12-18,5.4,39,64824.0,0.59,0.215,Low,0.136,Low,True,3
1167,Asset Management,Office Specialist,Oost,Manager C,2015-07-05,10.8,31,65295.0,5.35,0.01,Low,0.202,Medium,True,5
1168,Asset Management,Engineer,Noord,Manager G,2025-01-15,1.3,37,58803.0,6.8,0.106,Low,0.453,High,True,4
1169,Asset Management,Field Technician,Centraal,Manager F,2023-01-02,3.3,39,63792.0,1.52,0.01,Low,0.121,Low,True,5
1170,Asset Management,Office Specialist,Zuid,Manager I,2017-07-08,8.8,44,64522.0,-0.5,0.194,Low,0.285,Medium,True,4
1171,Asset Management,Office Specialist,West,Manager C,2018-12-18,7.4,41,55531.0,3.46,0.01,Low,0.167,Low,True,4
1172,Asset Management,Field Technician,Centraal,Manager B,2023-07-22,2.8,33,43742.0,3.28,0.01,Low,0.233,Medium,True,3
1173,Asset Management,Project Lead,Oost,Manager E,2022-08-28,3.7,27,59911.0,2.48,0.228,Low,0.121,Low,True,5
1174,Asset Management,Project Lead,West,Manager E,2019-06-26,6.9,50,36524.0,0.03,0.215,Low,0.071,Low,True,3
1175,Asset Management,Manager,Zuid,Manager G,2012-10-19,13.6,42,61010.0,0.48,0.131,Low,0.079,Low,True,4
1176,Asset Management,Office Specialist,Zuid,Manager E,2017-06-02,8.9,39,68212.0,6.92,0.01,Low,0.249,Medium,True,4
1177,Asset Management,Manager,Noord,Manager J,2021-01-17,5.3,33,58257.0,1.64,0.01,Low,0.282,Medium,True,3
1178,Asset Management,Engineer,Zuid,Manager I,2021-09-09,4.7,54,33222.0,6.87,0.109,Low,0.301,Medium,True,4
1179,Asset Management,Engineer,Zuid,Manager K,2014-06-10,11.9,30,34451.0,0.23,0.277,Low,0.42,High,True,5
1180,Asset Management,Engineer,Noord,Manager C,2018-01-05,8.3,42,68745.0,1.94,0.01,Low,0.286,Medium,True,4
1181,Asset Management,Office Specialist,Noord,Manager B,2019-12-24,6.4,30,61194.0,4.17,0.036,Low,0.265,Medium,True,2
1182,Asset Management,Office Specialist,Noord,Manager G,2025-08-02,0.8,34,55362.0,4.22,0.212,Low,0.278,Medium,True,4
1183,Asset Management,Engineer,Centraal,Manager G,2018-01-07,8.3,44,45934.0,2.69,0.056,Low,0.064,Low,True,3
1184,Asset Management,Project Lead,Oost,Manager J,2022-07-12,3.8,43,62177.0,1.3,0.018,Low,0.72,High,True,3
1185,Asset Management,Manager,Oost,Manager B,2019-10-13,6.6,34,76608.0,3.45,0.034,Low,0.242,Medium,True,3
1186,Asset Management,Field Technician,Oost,Manager H,2020-12-09,5.4,47,63327.0,6.19,0.01,Low,0.542,High,True,4
1187,Asset Management,Manager,Zuid,Manager E,2023-11-10,2.5,34,45169.0,-0.76,0.105,Low,0.322,Medium,True,3
1188,Asset Management,Engineer,Noord,Manager D,2025-06-16,0.9,34,48041.0,1.34,0.166,Low,0.321,Medium,True,5
1189,Asset Management,Project Lead,Zuid,Manager L,2019-01-06,7.3,56,69447.0,0.12,0.183,Low,0.391,Medium,True,4
1190,Asset Management,Analyst,Centraal,Manager B,2015-06-10,10.9,43,63046.0,0.86,0.254,Low,0.196,Low,True,2
1191,Asset Management,Project Lead,Oost,Manager E,2025-06-16,0.9,56,50921.0,5.0,0.291,Low,0.383,Medium,True,1
1192,Asset Management,Manager,Centraal,Manager K,2013-10-18,12.6,31,62908.0,2.45,0.113,Low,0.215,Medium,True,4
1193,Asset Management,Analyst,Noord,Manager A,2020-01-06,6.3,51,46369.0,0.75,0.163,Low,0.095,Low,True,4
1194,Asset Management,Engineer,Noord,Manager G,2023-06-09,2.9,28,59270.0,4.54,0.082,Low,0.481,High,True,3
1195,Asset Management,Field Technician,Centraal,Manager H,2023-01-30,3.3,44,52845.0,4.7,0.142,Low,0.214,Medium,True,3
1196,Asset Management,Engineer,Zuid,Manager E,2017-02-22,9.2,47,49475.0,4.73,0.072,Low,0.166,Low,True,4
1197,Asset Management,Field Technician,Oost,Manager E,2021-09-27,4.6,52,61211.0,2.36,0.012,Low,0.059,Low,True,4
1198,Asset Management,Project Lead,Oost,Manager J,2018-06-24,7.9,42,56292.0,3.82,0.01,Low,0.08,Low,True,2
1199,Asset Management,Field Technician,West,Manager C,2019-08-01,6.8,32,68479.0,6.23,0.01,Low,0.237,Medium,True,3
1200,Asset Management,Field Technician,Zuid,Manager K,2020-08-14,5.7,47,37132.0,1.36,0.105,Low,0.285,Medium,True,4
1201,Asset Management,Engineer,West,Manager H,2013-07-13,12.8,51,71710.0,5.35,0.045,Low,0.249,Medium,True,4
1202,Asset Management,Engineer,Centraal,Manager K,2020-01-11,6.3,61,61558.0,3.94,0.057,Low,0.264,Medium,True,3
1203,Asset Management,Manager,West,Manager E,2024-04-10,2.1,55,47208.0,5.64,0.01,Low,0.337,Medium,True,5
1204,Asset Management,Field Technician,Centraal,Manager J,2015-12-21,10.4,44,74322.0,-0.05,0.203,Low,0.076,Low,True,3
1205,Asset Management,Office Specialist,Centraal,Manager E,2018-11-19,7.5,47,52819.0,3.35,0.053,Low,0.458,High,True,4
1206,Asset Management,Engineer,Centraal,Manager D,2017-12-18,8.4,48,57564.0,-2.21,0.216,Low,0.308,Medium,True,3
1207,Asset Management,Field Technician,Noord,Manager I,2025-05-03,1.0,26,66436.0,-1.42,0.436,Medium,0.193,Low,True,5
1208,Asset Management,Analyst,Centraal,Manager G,2025-03-01,1.2,25,47944.0,5.43,0.316,Medium,0.327,Medium,True,2
1209,Asset Management,Field Technician,Zuid,Manager G,2013-07-12,12.8,57,72517.0,-0.44,0.344,Medium,0.248,Medium,True,3
1210,Asset Management,Field Technician,Noord,Manager I,2015-05-27,11.0,46,71819.0,3.34,0.01,Low,0.094,Low,True,2
1211,Asset Management,Manager,West,Manager E,2025-08-23,0.7,38,50581.0,2.08,0.285,Low,0.283,Medium,True,2
1212,Asset Management,Engineer,Zuid,Manager D,2021-10-22,4.5,53,56056.0,1.58,0.116,Low,0.291,Medium,True,4
